2025-02-20 01:02:47,473 | root | INFO | step: 100, train_loss: 0.6052
2025-02-20 01:02:55,087 | root | INFO | step: 200, train_loss: 0.4884
2025-02-20 01:03:02,550 | root | INFO | step: 300, train_loss: 0.0373
2025-02-20 01:03:10,070 | root | INFO | step: 400, train_loss: 0.0784
2025-02-20 01:03:17,714 | root | INFO | step: 500, train_loss: 0.2830
2025-02-20 01:03:25,370 | root | INFO | step: 600, train_loss: 0.0663
2025-02-20 01:03:32,823 | root | INFO | step: 700, train_loss: 0.2743
2025-02-20 01:03:40,326 | root | INFO | step: 800, train_loss: 0.5245
2025-02-20 01:03:47,968 | root | INFO | step: 900, train_loss: 0.0896
2025-02-20 01:03:55,490 | root | INFO | step: 1000, train_loss: 0.3166
2025-02-20 01:04:03,110 | root | INFO | step: 1100, train_loss: 0.1739
2025-02-20 01:04:10,730 | root | INFO | step: 1200, train_loss: 0.3593
2025-02-20 01:04:18,314 | root | INFO | step: 1300, train_loss: 0.0994
2025-02-20 01:04:25,875 | root | INFO | step: 1400, train_loss: 0.3852
2025-02-20 01:04:33,452 | root | INFO | step: 1500, train_loss: 0.0704
2025-02-20 01:04:41,176 | root | INFO | step: 1600, train_loss: 0.0365
2025-02-20 01:04:48,829 | root | INFO | step: 1700, train_loss: 0.2407
2025-02-20 01:04:56,503 | root | INFO | step: 1800, train_loss: 0.0034
2025-02-20 01:05:04,037 | root | INFO | step: 1900, train_loss: 0.1411
2025-02-20 01:05:11,693 | root | INFO | step: 2000, train_loss: 0.6004
